Constituency_No,Constituency_Name
1,GUMMIDIPUNDI
2,PONNERI
3,TIRUTTANI
4,THIRUVALLUR
5,POONAMALLEE
6,AVADI
7,MADURAVOYAL
8,AMBATTUR
9,MADAVARAM
10,THIRUVOTTIYUR
11,DR. RADHAKRISHNAN NAGAR
12,PERAMBUR
13,KOLATHUR
14,VILLIVAKKAM
15,THIRU-VI-KA-NAGAR
16,EGMORE
17,ROYAPURAM
18,HARBOUR
19,CHEPAUK-THIRUVALLIKENI
20,THOUSAND LIGHTS
21,ANNA NAGAR
22,VIRUGAMPAKKAM
23,SAIDAPET
24,THEAYAGARAYA NAGAR
25,MYLAPORE
26,VELACHERY
27,SHOZHINGANALLUR
28,ALANDUR
29,SRIPERUMBUDUR
30,PALLAVARAM
31,TAMBARAM
32,CHENGALPATTU
33,THIRUPORUR
34,CHEYYUR
35,MADURANTHAKAM
36,UTHIRAMERUR
37,KANCHEEPURAM
38,ARAKONAM
39,SHOLINGHUR
40,KATPADI
41,RANIPET
42,ARCOT
43,VELLORE
44,ANAIKATTU
45,KILVAITHINANKUPPAM
46,GUDIYATHAM
47,VANIAYAMBADI
48,AMBUR
49,JOLARPET
50,TIRUPPATTUR
51,UTHANGARAI
52,BARGUR
53,KRISHNAGIRI
54,VEPPANAHALLI
55,HOSUR
56,THALLI
57,PALACODE
58,PENNAGARAM
59,DHARMAPURI
60,PAPPIREDDIPPATTI
61,HARUR
62,CHENGAM
63,TIRUVANNAMALAI
64,KILPENNATHUR
65,KALASAPAKKAM
66,POLUR
67,ARANI
68,CHEYYAR
69,VANDAVASI
70,GINGEE
71,MAILAM
72,TINDIVANAM
73,VANUR
74,VILLUPURAM
75,VIKRAVANDI
76,TIRUKKOYILUR
77,ULUNDURPET
78,RISHIVANDIAM
79,SANKARAPURAM
80,KALLAKURICHI
81,GANGAVALLI
82,ATTUR
83,YERCAUD
84,OMALUR
85,METTUR
86,EDAPADI
87,SANKARI
88,SALEM (West)
89,SALEM (North)
90,SALEM (South)
91,VEERAPANDI
92,RASIPURAM
93,SENDAMANGALAM
94,NAMAKKAL
95,PARAMATHI-VELUR
96,TIRUCHENGODE
97,KUMARAPALAYAM
98,ERODE (East)
99,ERODE (West)
100,MODAKURICHI
101,DHARAPURAM
102,KANGAYAM
103,PERUNDURAI
104,BHAVANI
105,ANTHIYUR
106,GOBICHETTIPALAYAM
107,BHAVANISAGAR
108,UDHAGAMANDALAM
109,GUDALUR
110,COONOOR
111,METTUPALAYAM
112,AVANASHI
113,TIRUPPUR (North)
114,TIRUPPUR (South)
115,PALLADAM
116,SULUR
117,KAVUNDAMPALAYAM
118,COIMBATORE NORTH
119,THONDAMUTHUR
120,COIMBATORE SOUTH
121,SINGANALLUR
122,KINATHUKADAVU
123,POLLACHI
124,VALPARAI
125,UDUMALPET
126,MADATHUKULAM
127,PALANI
128,ODDANCHATRAM
129,ATHOOR
130,NILAKOTTAI
131,NATHAM
132,DINDIGUL
133,VEDASANDUR
134,ARAVAKURICHI
135,KARUR
136,KRISHNARAYAPURAM
137,KULITHALAI
138,MANAPPARAI
139,SRIRANGAM
140,TIRUCHIRAPALLI (West)
141,TIRUCHIRAPALLI (East)
142,THIRUVERAMBUR
143,LALGUDI
144,MANACHANALLUR
145,MUSIRI
146,THURAIYUR
147,PERAMBALUR
148,KUNNAM
149,ARIYALUR
150,JAYANKONDAM
151,TITTAKUDI
152,VRIDDHACHALAM
153,NEYVELI
154,PANRUTI
155,CUDDALORE
156,KURINJIPADI
157,BHUVANAGIRI
158,CHIDAMBARAM
159,KATTUMANNARKOIL
160,SIRKALI
161,MAYILADUTHURAI
162,POOMPUHAR
163,NAGAPATTINAM
164,KILVELUR
165,VEDARANYAM
166,THIRUTHURAIPUNDI
167,MANNARGUDI
168,THIRUVARUR
169,NANNILAM
170,THIRUVIDAMARUDUR
171,KUMBAKONAM
172,PAPANASAM
173,THIRUVAIYARU
174,THANJAVUR
175,ORATHANAD
176,PATTUKKOTTAI
177,PERAVURANI
178,GANDHARVAKOTTAI
179,VIRALIMALAI
180,PUDUKKOTTAI
181,THIRUMAYAM
182,ALANGUDI
183,ARANTANGI
184,KARAIKUDI
185,TIRUPPATTUR
186,SIVAGANGA
187,MANAMADURAI
188,MELUR
189,MADURAI EAST
190,SHOLAVANDAN
191,MADURAI NORTH
192,MADURAI SOUTH
193,MADURAI CENTRAL
194,MADURAI WEST
195,THIRUPARANKUNDRAM
196,THIRUMANGALAM
197,USILAMPATTI
198,ANDIPATTI
199,PERIYAKULAM
200,BODINAYAKANUR
201,CUMBUM
202,RAJAPALAYAM
203,SRIVILLIPUTHUR
204,SATTUR
205,SIVAKASI
206,VIRUDHUNAGAR
207,ARUPPUKOTTAI
208,TIRUCHULI
209,PARAMAKUDI
210,TIRUVADANAI
211,RAMANATHAPURAM
212,MUDUKULATHUR
213,VILATHIKULAM
214,THOOTHUKKUDI
215,TIRUCHENDUR
216,SRIVAIKUNTAM
217,OTTAPIDARAM
218,KOVILPATTI
219,SANKARANKOVIL
220,VASUDEVANALLUR
221,KADAYANALLUR
222,TENKASI
223,ALANGULAM
224,TIRUNELVELI
225,AMBASAMUDRAM
226,PALAYAMCOTTAI
227,NANGUNERI
228,RADHAPURAM
229,KANNIYAKUMARI
230,NAGERCOIL
231,COLACHEL
232,PADMANABHAPURAM
233,VILAVANCODE
234,KILLIYOOR
