,Constituency_No,Party,Vote_Share_2016,Vote_Share_2021,Incumbent_2016,Incumbent_2021,Turncoat_2016,Turncoat_2021,Recontest_2016,Recontest_2021,Winner_2016,Winner_2021
0,1,ADMK,41.676152798253305,0.0,False,0,False,0,False,0,True,0
1,1,DMK,30.761658611230335,56.94266196542516,True,False,True,False,True,False,False,True
2,1,PMK,20.0864948588277,34.004746272554925,False,False,False,False,False,False,False,False
3,1,DMDK,3.0721070408867823,1.1599998198758044,False,False,False,False,False,False,False,False
4,1,BJP,0.9759829809468714,0.0,False,0,False,0,False,0,False,0
5,1,NOTA,0.6923320954709165,0.8029036020336021,0,0,0,0,0,0,False,False
6,1,BSP,0.5980928210200235,0.4674222876673466,False,False,False,False,False,False,False,False
7,1,NTK,0.5831638270476048,5.269083032751082,False,False,False,False,False,False,False,False
8,1,IND,0.4082146789333234,0.23956518019174222,False,False,False,False,False,False,False,False
9,1,IND,0.4082146789333234,0.2170496557376311,False,False,False,False,False,False,False,False
10,1,IND,0.4082146789333234,0.1684161229167511,False,False,False,False,False,False,False,False
11,1,IND,0.4082146789333234,0.15805898166785998,False,False,False,False,False,False,False,False
12,1,IND,0.4082146789333234,0.08826085586011555,False,False,False,False,False,False,False,False
13,1,IND,0.2584582081474984,0.23956518019174222,False,False,False,False,False,False,False,False
14,1,IND,0.2584582081474984,0.2170496557376311,False,False,False,False,False,False,False,False
15,1,IND,0.2584582081474984,0.1684161229167511,False,False,False,False,False,False,False,False
16,1,IND,0.2584582081474984,0.15805898166785998,False,False,False,False,False,False,False,False
17,1,IND,0.2584582081474984,0.08826085586011555,False,False,False,False,False,False,False,False
18,1,IND,0.2565920839009461,0.23956518019174222,False,False,False,False,False,False,False,False
19,1,IND,0.2565920839009461,0.2170496557376311,False,False,False,False,False,False,False,False
20,1,IND,0.2565920839009461,0.1684161229167511,False,False,False,False,False,False,False,False
21,1,IND,0.2565920839009461,0.15805898166785998,False,False,False,False,False,False,False,False
22,1,IND,0.2565920839009461,0.08826085586011555,False,False,False,False,False,False,False,False
23,1,IND,0.10776867523839737,0.23956518019174222,False,False,False,False,False,False,False,False
24,1,IND,0.10776867523839737,0.2170496557376311,False,False,False,False,False,False,False,False
25,1,IND,0.10776867523839737,0.1684161229167511,False,False,False,False,False,False,False,False
26,1,IND,0.10776867523839737,0.15805898166785998,False,False,False,False,False,False,False,False
27,1,IND,0.10776867523839737,0.08826085586011555,False,False,False,False,False,False,False,False
28,1,IND,0.07651109410864575,0.23956518019174222,False,False,False,False,False,False,False,False
29,1,IND,0.07651109410864575,0.2170496557376311,False,False,False,False,False,False,False,False
30,1,IND,0.07651109410864575,0.1684161229167511,False,False,False,False,False,False,False,False
31,1,IND,0.07651109410864575,0.15805898166785998,False,False,False,False,False,False,False,False
32,1,IND,0.07651109410864575,0.08826085586011555,False,False,False,False,False,False,False,False
33,1,IND,0.07604456304700767,0.23956518019174222,False,False,False,False,False,False,False,False
34,1,IND,0.07604456304700767,0.2170496557376311,False,False,False,False,False,False,False,False
35,1,IND,0.07604456304700767,0.1684161229167511,False,False,False,False,False,False,False,False
36,1,IND,0.07604456304700767,0.15805898166785998,False,False,False,False,False,False,False,False
37,1,IND,0.07604456304700767,0.08826085586011555,False,False,False,False,False,False,False,False
38,1,YSP,0.3009125347565641,0.0,False,0,False,0,False,0,False,0
39,1,GOKMK,0.0695131281840745,0.0,False,0,False,0,False,0,False,0
40,2,ADMK,48.56057233060795,40.331536362512715,False,True,False,False,False,True,True,False
41,2,DMK,38.77752367845868,0.0,False,0,False,0,False,0,False,0
42,2,PMK,4.85003642839796,0.0,False,0,False,0,False,0,False,0
43,2,VCK,2.816117542297418,0.0,False,0,False,0,False,0,False,0
44,2,NOTA,1.1555897352869748,0.7387546706979663,0,0,0,0,0,0,False,False
45,2,BJP,1.045798591435279,0.0,False,0,False,0,True,0,False,0
46,2,NTK,0.8196389541002186,9.045228519543246,False,False,False,False,False,False,False,False
