Timestamp,Constituency_No,Party,Sentiment,Platform,Comment
14-12-2024,1,TVK,Neutral,YouTube,TVK is neutral in 1
21-11-2024,1,DMK,Negative,Twitter,DMK is facing challenges in 1
19-11-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
12-01-2025,1,DMK,Negative,YouTube,DMK is facing challenges in 1
16-11-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
24-01-2025,1,BJP,Neutral,YouTube,BJP is neutral in 1
27-12-2024,1,Congress,Negative,YouTube,Congress is facing challenges in 1
22-12-2024,1,DMK,Positive,Twitter,DMK is gaining in 1
05-11-2024,1,BJP,Neutral,Twitter,BJP is neutral in 1
11-12-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
08-02-2025,1,ADMK,Positive,Twitter,ADMK is gaining in 1
12-12-2024,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
30-11-2024,1,BJP,Neutral,YouTube,BJP is neutral in 1
22-01-2025,1,BJP,Negative,Twitter,BJP is facing challenges in 1
20-11-2024,1,TVK,Neutral,YouTube,TVK is neutral in 1
26-12-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
12-01-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
18-11-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
06-10-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
15-10-2024,1,TVK,Negative,Twitter,TVK is facing challenges in 1
29-11-2024,1,ADMK,Neutral,Twitter,ADMK is neutral in 1
11-11-2024,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
15-12-2024,1,BJP,Neutral,Twitter,BJP is neutral in 1
09-01-2025,1,ADMK,Neutral,Twitter,ADMK is neutral in 1
28-02-2025,1,BJP,Negative,YouTube,BJP is facing challenges in 1
11-10-2024,1,DMK,Positive,Twitter,DMK is gaining in 1
27-01-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
05-02-2025,1,DMK,Negative,YouTube,DMK is facing challenges in 1
31-12-2024,1,TVK,Neutral,Twitter,TVK is neutral in 1
14-11-2024,1,TVK,Negative,Twitter,TVK is facing challenges in 1
23-11-2024,1,BJP,Neutral,YouTube,BJP is neutral in 1
02-11-2024,1,DMK,Neutral,YouTube,DMK is neutral in 1
16-01-2025,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
26-01-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
03-11-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
08-01-2025,1,Congress,Negative,YouTube,Congress is facing challenges in 1
28-11-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
11-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
23-01-2025,1,ADMK,Positive,YouTube,ADMK is gaining in 1
05-02-2025,1,Congress,Negative,Twitter,Congress is facing challenges in 1
02-02-2025,1,Congress,Negative,YouTube,Congress is facing challenges in 1
04-02-2025,1,Congress,Positive,Twitter,Congress is gaining in 1
26-02-2025,1,Congress,Negative,Twitter,Congress is facing challenges in 1
03-01-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
17-02-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
07-02-2025,1,Congress,Positive,YouTube,Congress is gaining in 1
